createdAt,text,sentimen,validasi_h1
2026-04-12 03:20:25,"@DennySeggssegar @sampahfhui jangan shift the blame dong. seandainya mereka ga bercanda soal memperkosa juga gabakal diunggah di sini toh? di ranah paling mikro pun, kalau pandangan terhadap perempuan udah pincang, mau jadi pemimpin gimanapun juga bakal cacat. dont ever kill the messenger :)",Positive,1
2026-04-12 03:50:12,"DOWNFALL ERA, bayangin lu dikasih anugerah masuk FH UI. karir lo bagus, aktif lomba, organisasi, MAGANG DI LAWFIRM FAMOUS DENGAN MUDAH. dan lo hancurin itu semua dengab OTAK SELANGKANGAN LO. satu grup udah gila semua ga ada ngingetin, dianggap wajar hal kayak gini GILA.",Positive,1
2026-04-12 03:56:44,gue pernah ke fhui buat edukasi mrk soal KS waktu petinggi BEM FH UI viral krn bikin gerakaan gak pantes waktu parade ui. ketemu ama anak2 bem nya dan yg ngurus parade dr fh (w lupa namanya) sama bbrp dosen. tanggepan mrk ya jelek gt masih ada aja yang nyalahin pakaian wkwk,Positive,1
2026-04-12 04:27:51,"@DennySeggssegar @sampahfhui Tongkrongan nya sampah, emg pantes buat disebar, ditelanjangin, diarak, dibakar",Positive,1
2026-04-12 04:47:04,@DennySeggssegar @sampahfhui Calon pengacara handal???? Hah???,Positive,0
2026-04-12 05:16:28,@DennySeggssegar @sampahfhui Um.. membunuh org juga private bang. Ga dilakuin depan umum. Bgtu juga menucuri dan memperkosa. Semuanya dilakukan diruang pribadi. Dilakukan diruang pribada bukan berarti bebas. Hukum ‘harusnya’ ga kenal lokasi 😅,Positive,1
2026-04-12 06:06:50,"@sampahfhui Jadi ini sebenernya grup chat privat? Udah bener mereka begitu di grup, bukan lecehin depan korban, yg salah itu yg ngeshare. Isi kepala manusia juga kalo diumbar ke sosmed pasti isinya macem2 dari julid, porno, dll. Tapi selama di simpen didalam kepala ya gak masalah",Negative,2
2026-04-12 06:31:46,@DennySeggssegar @sampahfhui Apa bedanya ama lu nyebarin bokep di grup private?,Negative,2
2026-04-12 06:37:00,"@DennySeggssegar @sampahfhui Mereka sendiri aja sadar kelakuannya salah kok, apalagi dengan jabatan yg mereka punya. Mereka nyamain diri mereka sama pejabat bejat &amp; mengaku salah mintaf maaf meskipun pake template. Ngapain lu sibuk2 nyepongin org salah?",Positive,1
2026-04-12 06:42:42,"@sampahfhui Ni yg belain pelaku dan bilang grup private di leak segala macem,eh anak2 anjing emg lu gabisa apa bikin grup private yg obrolan nya normal aja gitu??? Gausah ngelecehin perempuan? Yailaaaaaah gitu aja masa ga ngerti",Positive,1
